Dado,Label,Predição,Avaliação
41,correto,P-incorreto,FP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-incorreto,FP
42,correto,P-correto,VP
43,correto,P-correto,VP
41,correto,P-incorreto,FP
42,correto,P-correto,VP
41,correto,P-incorreto,FP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-incorreto,FP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-incorreto,FP
43,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-incorreto,FP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
43,incorreto,P-correto,FN
