Dado,Label,Predição,Avaliação
53,incorreto,P-incorreto,VP
41,correto,P-correto,VN
54,incorreto,P-incorreto,VP
42,correto,P-correto,VN
58,incorreto,P-incorreto,VP
59,incorreto,P-incorreto,VP
60,incorreto,P-incorreto,VP
42,correto,P-correto,VN
42,correto,P-correto,VN
64,incorreto,P-incorreto,VP
42,correto,P-correto,VN
65,incorreto,P-incorreto,VP
43,correto,P-correto,VN
67,incorreto,P-incorreto,VP
41,correto,P-correto,VN
