Dado,Label,Predição,Avaliação,Label_Cod,Predicao_Cod,Precisao,Recall,F-Measure
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
43,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
43,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
43,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
43,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
41,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
42,correto,P-correto,VP,1,1,0.4998842324612179,0.999537037037037,0.6664608735916037
