Arquivo,Média F1-Measure,Média Tempo Processamento
F1-Measure-svm-LossAccuracy-L1-.csv,0.9109954603157793,0.6048181374867757
F1-Measure-diversidade-LossAccuracy-L1-.csv,0.7624296460731448,0.03826649983723954
F1-Measure-svm-Drift-L2-.csv,0.8173357580243975,1.088765056927999
F1-Measure-diversidade-Noise-L2-.csv,0.7674676466310018,0.03188685576121008
F1-Measure-svm-Freezing-L1-.csv,0.5711450684659655,0.6233309904734293
F1-Measure-isolation-LossAccuracy-L2-.csv,0.8707606966119653,0.10201608339945473
F1-Measure-isolation-Drift-L1-.csv,0.9895936002933922,0.09646910031636553
F1-Measure-svm-Freezing-L2-.csv,0.5711450684659655,0.5596981843312582
F1-Measure-diversidade-Bias-L2-.csv,1.0,0.03568070729573565
F1-Measure-svm-LossAccuracy-L2-.csv,0.870583548292143,0.6112619876861572
F1-Measure-isolation-Bias-L1-.csv,0.9778738027749238,0.10232954819997149
F1-Measure-isolation-Noise-L1-.csv,0.9589398368621915,0.10158789157867429
F1-Measure-diversidade-Freezing-L1-.csv,0.8694252133311867,0.0309297402699788
F1-Measure-diversidade-Drift-L2-.csv,0.9999761187111862,0.03171315987904863
F1-Measure-isolation-Freezing-L2-.csv,0.5714285714285714,0.09183543523152667
F1-Measure-diversidade-Noise-L1-.csv,0.7786457572864502,0.03381062348683671
F1-Measure-isolation-Bias-L2-.csv,0.9340876706922787,0.10156056880950924
F1-Measure-diversidade-LossAccuracy-L2-.csv,0.7334080893674332,0.030948996543884232
F1-Measure-svm-Bias-L1-.csv,0.9456143316429981,0.811394453048706
F1-Measure-diversidade-Bias-L1-.csv,1.0,0.03148204485575354
F1-Measure-isolation-Drift-L2-.csv,0.965450464046096,0.09620128472646075
F1-Measure-diversidade-Freezing-L2-.csv,0.8694252133311867,0.03602216243743893
F1-Measure-diversidade-Drift-L1-.csv,0.9999865819652908,0.0333834330240885
F1-Measure-isolation-Freezing-L1-.csv,0.5714285714285714,0.09421525796254474
F1-Measure-svm-Drift-L1-.csv,0.9890863713893818,0.6865551233291626
F1-Measure-svm-Noise-L2-.csv,0.7309355344722771,1.0746341228485108
F1-Measure-isolation-Noise-L2-.csv,0.9575433871752785,0.10039504369099932
F1-Measure-svm-Noise-L1-.csv,0.9101705441653294,0.6520370244979858
F1-Measure-isolation-LossAccuracy-L1-.csv,0.9107311554400356,0.10210117499033607
F1-Measure-svm-Bias-L2-.csv,0.9043437748157981,0.7007572571436564
