Dado,Label,Predição,Avaliação
43,correto,P-correto,VN
43,incorreto,P-correto,FP
45,incorreto,P-incorreto,VP
47,incorreto,P-incorreto,VP
41,correto,P-correto,VN
42,correto,P-correto,VN
49,incorreto,P-incorreto,VP
50,incorreto,P-incorreto,VP
50,incorreto,P-incorreto,VP
51,correto,P-incorreto,FN
50,incorreto,P-incorreto,VP
51,correto,P-incorreto,FN
51,correto,P-incorreto,FN
51,correto,P-incorreto,FN
50,incorreto,P-incorreto,VP
