Dado,Label,Predição,Avaliação
42,correto,P-correto,VN
42,correto,P-correto,VN
41,correto,P-correto,VN
43,incorreto,P-incorreto,VP
42,correto,P-correto,VN
38,incorreto,P-correto,FP
43,correto,P-incorreto,FN
51,incorreto,P-correto,FP
55,incorreto,P-incorreto,VP
46,correto,P-incorreto,FN
57,incorreto,P-correto,FP
46,correto,P-incorreto,FN
46,correto,P-incorreto,FN
46,correto,P-incorreto,FN
46,correto,P-incorreto,FN
