Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Noise-L1,0.9380952380952381,0.07600308641975309,0.14061384725196288,0.36772799491882324
2,svm-Noise-L1,0.9238385376999239,0.15599279835390947,0.2669160523709979,0.37824177742004395
3,svm-Noise-L1,0.9461663947797716,0.14917695473251028,0.25772050655409906,0.36989450454711914
4,svm-Noise-L1,0.9857849980962051,0.9988425925925926,0.9922708399872247,0.41786813735961914
5,svm-Noise-L1,0.9866666666666667,0.9992283950617284,0.9929078014184398,0.3925337791442871
6,svm-Noise-L1,0.9484286865431104,0.15136316872427982,0.261062437617833,0.39378952980041504
7,svm-Noise-L1,0.9248554913294798,0.1646090534979424,0.2794759825327511,0.4136958122253418
8,svm-Noise-L1,0.982027591444121,0.9978137860082305,0.9898577533966957,0.3984658718109131
9,svm-Noise-L1,0.9864213197969544,0.9996141975308642,0.992973939703628,0.38150644302368164
10,svm-Noise-L1,0.95900439238653,0.421167695473251,0.5852917523009561,0.33251523971557617
11,svm-Noise-L1,0.9859857938183912,0.6604938271604939,0.7910666153253756,0.35117268562316895
12,svm-Noise-L1,0.9241379310344827,0.1550925925925926,0.265609514370664,0.3997833728790283
13,svm-Noise-L1,0.9475218658892128,0.08359053497942387,0.15362798392814936,0.34192848205566406
14,svm-Noise-L1,0.986162244509331,0.9989711934156379,0.9925253944930684,0.3711059093475342
15,svm-Noise-L1,0.9881949210706932,0.9257973251028807,0.9559790186574597,0.37361979484558105
16,svm-Noise-L1,0.9744058500914077,0.34272119341563784,0.5070878127675768,0.3260362148284912
17,svm-Noise-L1,0.9886232163517161,0.6593364197530864,0.7910816232062953,0.32983851432800293
18,svm-Noise-L1,0.9861587301587301,0.9987139917695473,0.99239665197112,0.32839083671569824
19,svm-Noise-L1,0.9856598984771574,0.9988425925925926,0.9922074603985692,0.32688403129577637
20,svm-Noise-L1,0.986037065244986,0.9989711934156379,0.9924619905455474,0.342559814453125
21,svm-Noise-L1,0.9863898817706901,0.9227109053497943,0.9534883720930233,0.34789228439331055
22,svm-Noise-L1,0.9855348306052532,0.9988425925925926,0.9921440889059207,0.34824085235595703
23,svm-Noise-L1,0.9324116743471582,0.15612139917695472,0.26745979290592636,0.36638593673706055
24,svm-Noise-L1,0.9881131507673788,0.8445216049382716,0.9106919983358757,0.3918192386627197
25,svm-Noise-L1,0.9857868020304569,0.9989711934156379,0.9923352069494124,0.3712625503540039
26,svm-Noise-L1,0.9700207776788364,0.4202674897119342,0.5864513234634365,0.34556055068969727
27,svm-Noise-L1,0.9758507135016465,0.3429783950617284,0.5075649443334285,0.34473490715026855
28,svm-Noise-L1,0.9870360955770209,0.9987139917695473,0.9928407057018666,0.3678762912750244
29,svm-Noise-L1,0.9838026036936118,0.8357767489711934,0.9037685996384369,0.34591007232666016
30,svm-Noise-L1,0.9777534646243617,0.34477880658436216,0.5097927362616467,0.35738205909729004
