Arquivo,Média F1-Measure,Média Accuracy,Média Tempo Processamento
F1-Measure-diversidade-Noise-L1-.csv,0.8901879132203874,0.9801234567901234,0.02152262131373083
F1-Measure-diversidade-Noise-L2-.csv,0.8895482414598701,0.960102237654321,0.02191172639528905
F1-Measure-diversidade-Bias-L1-.csv,0.9965893696157614,0.9993152006172837,0.021211755275726274
F1-Measure-diversidade-Bias-L2-.csv,0.9982361381439068,0.9992930169753085,0.02146086295445755

F1-Measure-svm-Bias-L1-.csv,0.2154755034728693,0.7535604056437389,0.6215306771855776
F1-Measure-svm-Bias-L2-.csv,0.31323057704382634,0.7049170524691358,0.6124263246854146
F1-Measure-svm-Noise-L1-.csv,0.9320945351269474,0.9871373456790123,0.606898291905721
F1-Measure-svm-Noise-L2-.csv,0.7021892729496882,0.776309799382716,0.6176034609476725

F1-Measure-isolation-Bias-L1-.csv,0.7763456383941992,0.9633452913814288,0.0759144270024593
F1-Measure-isolation-Bias-L2-.csv,0.3787281509344523,0.7810841049382717,0.07829976706277753
F1-Measure-isolation-Noise-L1-.csv,0.7727317870786341,0.9405601851851851,0.0809804010391235
F1-Measure-isolation-Noise-L2-.csv,0.8251147297636914,0.9431933421516755,0.08679358732132682

