Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.04875755310058594
2,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.043987274169921875
3,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.043669939041137695
1,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.044545650482177734
2,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.044342756271362305
3,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.043628692626953125
1,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.045920610427856445
2,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.04400753974914551
3,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.044141292572021484
1,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.043340444564819336
2,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.043219804763793945
3,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.04290628433227539
1,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.04674482345581055
2,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.043909311294555664
3,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.0442197322845459
1,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.043572187423706055
2,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.04340243339538574
3,isolation-Drift-L1,0.8333333333333334,1.0,0.9090909090909091,0.043489694595336914
1,isolation-Drift-L1,1.0,1.0,1.0,0.0444035530090332
2,isolation-Drift-L1,1.0,1.0,1.0,0.04485297203063965
3,isolation-Drift-L1,0.9895833333333334,1.0,0.9947643979057591,0.04481172561645508
1,isolation-Drift-L1,1.0,1.0,1.0,0.04541182518005371
2,isolation-Drift-L1,1.0,1.0,1.0,0.04714846611022949
3,isolation-Drift-L1,0.9895833333333334,1.0,0.9947643979057591,0.04572176933288574
