Arquivo,Média F1-Measure,Média Accuracy,Média Tempo Processamento
F1-Measure-svm-LossAccuracy-L1-.csv,0.16490386106207167,0.9088271604938273,0.29682710965474446
F1-Measure-diversidade-LossAccuracy-L1-.csv,0.0315503026099831,0.9011882716049383,0.022726639111836703
F1-Measure-diversidade-Noise-L2-.csv,0.8895047285213706,0.9600848765432098,0.024946610132853143
F1-Measure-svm-Freezing-L1-.csv,0.0,0.4986998456790124,0.29520126183827716
F1-Measure-isolation-LossAccuracy-L2-.csv,0.18120041009575075,0.7892283950617285,0.0760509093602498
F1-Measure-svm-Freezing-L2-.csv,0.0,0.4986882716049381,0.32317932446797687
F1-Measure-diversidade-Bias-L2-.csv,0.9982193641996717,0.9992862654320989,0.022868982950846307
F1-Measure-svm-LossAccuracy-L2-.csv,0.10677017951077107,0.7982291666666668,0.3039791186650594
F1-Measure-isolation-Bias-L1-.csv,0.4743591036064779,0.9295023148148149,0.0797610521316528
F1-Measure-isolation-Noise-L1-.csv,0.9318596020944543,0.9870987654320987,0.0778218269348144
F1-Measure-diversidade-Freezing-L1-.csv,0.0008781854593814201,0.49989197530864193,0.0227034489313761
F1-Measure-isolation-Freezing-L2-.csv,0.0,0.42051697530864196,0.06789490381876624
F1-Measure-diversidade-Noise-L1-.csv,0.8899305234498815,0.9800887345679014,0.02231901486714676
F1-Measure-isolation-Bias-L2-.csv,0.4763788808621227,0.8611226851851851,0.0750031232833862
F1-Measure-diversidade-LossAccuracy-L2-.csv,0.03124419853817639,0.8026080246913582,0.02327689329783117
F1-Measure-svm-Bias-L1-.csv,0.21669099737667893,0.7424189814814817,0.30560033321380614
F1-Measure-diversidade-Bias-L1-.csv,0.9970969683766828,0.9994174382716051,0.021610204378763802
F1-Measure-diversidade-Freezing-L2-.csv,0.0012928764938307002,0.49984567901234567,0.022207887967427512
F1-Measure-isolation-Freezing-L1-.csv,0.0,0.42009645061728396,0.07527335484822588
F1-Measure-svm-Noise-L2-.csv,0.4003674616087914,0.5043171296296296,0.495893661181132
F1-Measure-isolation-Noise-L2-.csv,0.6522062204610456,0.8967901234567901,0.0807649453481038
F1-Measure-svm-Noise-L1-.csv,0.5361349601791136,0.6533063271604939,0.30586853822072346
F1-Measure-isolation-LossAccuracy-L1-.csv,0.2066673208525641,0.8614891975308641,0.0666256745656331
F1-Measure-svm-Bias-L2-.csv,0.2598106122913675,0.7313657407407408,0.3512544552485148
