Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,isolation-Freezing-L2,0.5959210205574064,0.0754859447479248
2,isolation-Freezing-L2,0.5921459996741076,0.06460809707641602
3,isolation-Freezing-L2,0.5932920872679908,0.06333112716674805
4,isolation-Freezing-L2,0.5952361596618162,0.07012391090393066
5,isolation-Freezing-L2,0.5892725936811167,0.06465554237365723
6,isolation-Freezing-L2,0.5884659369384088,0.06960368156433105
7,isolation-Freezing-L2,0.5936355497680476,0.06435537338256836
8,isolation-Freezing-L2,0.593978844589097,0.06573605537414551
9,isolation-Freezing-L2,0.5927192768140728,0.06438040733337402
10,isolation-Freezing-L2,0.5951219512195122,0.06397438049316406
11,isolation-Freezing-L2,0.5936355497680476,0.07070279121398926
12,isolation-Freezing-L2,0.5900783289817235,0.06579923629760742
13,isolation-Freezing-L2,0.58719646799117,0.06340456008911133
14,isolation-Freezing-L2,0.5930630190522717,0.06414604187011719
15,isolation-Freezing-L2,0.5926046587392084,0.06380605697631836
16,isolation-Freezing-L2,0.5885812300906642,0.07209134101867676
17,isolation-Freezing-L2,0.5892725936811167,0.06498432159423828
18,isolation-Freezing-L2,0.594093238955333,0.06868505477905273
19,isolation-Freezing-L2,0.5889269965703086,0.06414556503295898
20,isolation-Freezing-L2,0.5945506303375355,0.06398820877075195
21,isolation-Freezing-L2,0.5969470607340045,0.06683611869812012
22,isolation-Freezing-L2,0.5854616895874261,0.07453727722167969
23,isolation-Freezing-L2,0.5912277841187021,0.07002925872802734
24,isolation-Freezing-L2,0.5886965044103236,0.0647890567779541
25,isolation-Freezing-L2,0.5912277841187021,0.06719684600830078
26,isolation-Freezing-L2,0.5878891885265995,0.06885600090026855
27,isolation-Freezing-L2,0.5948934786144088,0.06510114669799805
28,isolation-Freezing-L2,0.5899632802937577,0.07549929618835449
29,isolation-Freezing-L2,0.5935210809050951,0.0638432502746582
30,isolation-Freezing-L2,0.5960350991225221,0.06386923789978027
