Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,isolation-Noise-L2,0.9388753056234722,0.08290624618530273
2,isolation-Noise-L2,0.9386203150461706,0.08834528923034668
3,isolation-Noise-L2,0.9379834441579592,0.10167264938354492
4,isolation-Noise-L2,0.9391304347826086,0.09606671333312988
5,isolation-Noise-L2,0.9402162823913488,0.09795069694519043
6,isolation-Noise-L2,0.9380470923525818,0.09501147270202637
7,isolation-Noise-L2,0.9388753056234722,0.09763479232788086
8,isolation-Noise-L2,0.9408561900224598,0.08201241493225098
9,isolation-Noise-L2,0.9407921600653331,0.09685492515563965
10,isolation-Noise-L2,0.9402802339817709,0.08276557922363281
11,isolation-Noise-L2,0.9411123970317926,0.08826208114624023
12,isolation-Noise-L2,0.9386203150461706,0.08667397499084473
13,isolation-Noise-L2,0.9384928716904279,0.10222935676574707
14,isolation-Noise-L2,0.9395133886094876,0.09786725044250488
15,isolation-Noise-L2,0.9411123970317926,0.09048891067504883
16,isolation-Noise-L2,0.9383654629378224,0.08732390403747559
17,isolation-Noise-L2,0.9383654629378224,0.0856776237487793
18,isolation-Noise-L2,0.9384291629896139,0.08301711082458496
19,isolation-Noise-L2,0.9402802339817709,0.08456850051879883
20,isolation-Noise-L2,0.9380470923525818,0.08219218254089355
21,isolation-Noise-L2,0.9392580513656749,0.08352041244506836
22,isolation-Noise-L2,0.9393857026365864,0.0817573070526123
23,isolation-Noise-L2,0.9400884053043188,0.08706045150756836
24,isolation-Noise-L2,0.9383654629378224,0.08241891860961914
25,isolation-Noise-L2,0.9397049826660328,0.08661437034606934
26,isolation-Noise-L2,0.9411764705882354,0.0824732780456543
27,isolation-Noise-L2,0.939002852873251,0.08586239814758301
28,isolation-Noise-L2,0.93874779301915,0.08320140838623047
29,isolation-Noise-L2,0.940920228695889,0.08649945259094238
30,isolation-Noise-L2,0.9379834441579592,0.08143734931945801
