Arquivo,Média F1-Measure,Média Tempo Processamento
F1-Measure-svm-LossAccuracy-L1-.csv,0.9516196026889158,0.3281171003977458
F1-Measure-diversidade-LossAccuracy-L1-.csv,0.9450107706596172,0.039251899719238245
F1-Measure-svm-Drift-L2-.csv,0.8973280569546975,0.7495887597401937
F1-Measure-diversidade-Noise-L2-.csv,0.8620171094946976,0.042243846257527626
F1-Measure-svm-Freezing-L1-.csv,0.6654686803186767,0.31930644512176515
F1-Measure-isolation-LossAccuracy-L2-.csv,0.8680331243745569,0.07232575416564939
F1-Measure-isolation-Drift-L1-.csv,0.9999378505144159,0.08832583427429196
F1-Measure-svm-Freezing-L2-.csv,0.6629844198208835,0.3459575414657593
F1-Measure-diversidade-Bias-L2-.csv,0.8652775588809282,0.04358738263448076
F1-Measure-svm-LossAccuracy-L2-.csv,0.8783769332766277,0.3479337453842163
F1-Measure-isolation-Bias-L1-.csv,0.9621994688856426,0.08539723555246986
F1-Measure-isolation-Noise-L1-.csv,0.9927518839796993,0.08644197781880694
F1-Measure-diversidade-Freezing-L1-.csv,0.6663133279246034,0.045528546969095834
F1-Measure-diversidade-Drift-L2-.csv,0.8887577334875971,0.044826491673787404
F1-Measure-isolation-Freezing-L2-.csv,0.5919218361590165,0.06695217291514076
F1-Measure-diversidade-Noise-L1-.csv,0.9478391025946259,0.038029766082763636
F1-Measure-isolation-Bias-L2-.csv,0.9199062105468525,0.07617839972178136
F1-Measure-diversidade-LossAccuracy-L2-.csv,0.8785584149104851,0.04586535294850661
F1-Measure-svm-Bias-L1-.csv,0.8574915517678683,0.3244386434555054
F1-Measure-diversidade-Bias-L1-.csv,0.9416787274842908,0.041078352928161595
F1-Measure-isolation-Drift-L2-.csv,0.9411273504359853,0.09783205191294346
F1-Measure-diversidade-Freezing-L2-.csv,0.6662927343175747,0.04478789965311683
F1-Measure-diversidade-Drift-L1-.csv,0.9469693955315966,0.046336102485656706
F1-Measure-isolation-Freezing-L1-.csv,0.591289687215824,0.07142680486043292
F1-Measure-svm-Drift-L1-.csv,0.9930717428400956,0.37790515422821047
F1-Measure-svm-Noise-L2-.csv,0.515185142836645,0.49644012451171876
F1-Measure-isolation-Noise-L2-.csv,0.9393549647633791,0.08834556738535561
F1-Measure-svm-Noise-L1-.csv,0.7623376723990848,0.33192984263102215
F1-Measure-isolation-LossAccuracy-L1-.csv,0.9232649579604247,0.07624719142913813
F1-Measure-svm-Bias-L2-.csv,0.8136502787799681,0.36576019128163656
