Sensor,Grupo de Execução,F1-Measure,Tempo Processamento
1,svm-Noise-L1,0.26919682259488076,0.3249540328979492
2,svm-Noise-L1,0.9532797235329299,0.3243691921234131
3,svm-Noise-L1,0.9915032262186168,0.3367428779602051
4,svm-Noise-L1,0.9915043117214951,0.342376708984375
5,svm-Noise-L1,0.507417268923545,0.33212780952453613
6,svm-Noise-L1,0.9533479328422592,0.35453343391418457
7,svm-Noise-L1,0.14250029737123818,0.330352783203125
8,svm-Noise-L1,0.4926117827672234,0.31543850898742676
9,svm-Noise-L1,0.9484632308820586,0.3299124240875244
10,svm-Noise-L1,0.9515119222059413,0.3277604579925537
11,svm-Noise-L1,0.5865705272645336,0.3187718391418457
12,svm-Noise-L1,0.787663291334931,0.33248376846313477
13,svm-Noise-L1,0.5164523449319214,0.3210771083831787
14,svm-Noise-L1,0.9112557109234386,0.3208432197570801
15,svm-Noise-L1,0.9517672070156794,0.34215235710144043
16,svm-Noise-L1,0.9493468408424418,0.33382177352905273
17,svm-Noise-L1,0.9076366671303382,0.3174893856048584
18,svm-Noise-L1,0.9918906838643764,0.33908867835998535
19,svm-Noise-L1,0.2723385593684902,0.335512638092041
20,svm-Noise-L1,0.7921586787064907,0.33690690994262695
21,svm-Noise-L1,0.7932866271460468,0.3191232681274414
22,svm-Noise-L1,0.9119034406215314,0.37074756622314453
23,svm-Noise-L1,0.990805771932065,0.34538865089416504
24,svm-Noise-L1,0.9925253944930683,0.33118343353271484
25,svm-Noise-L1,0.7870570107858245,0.33318543434143066
26,svm-Noise-L1,0.991764029879333,0.3231234550476074
27,svm-Noise-L1,0.9928425357873215,0.31363677978515625
28,svm-Noise-L1,0.2781413612565445,0.3417973518371582
29,svm-Noise-L1,0.9923303080659596,0.3169071674346924
30,svm-Noise-L1,0.2710566615620214,0.3460862636566162
