Dado,Label,Predição,Avaliação,Label_Cod,Predicao_Cod,Precisao,Recall,F-Measure
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
39,incorreto,P-correto,FN,0,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
43,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
43,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
43,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
51,incorreto,P-incorreto,VN,0,0,0.8862674701884857,1.0,0.9397049826660323
41,incorreto,P-correto,FN,0,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
32,incorreto,P-incorreto,VN,0,0,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
51,incorreto,P-incorreto,VN,0,0,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
43,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
44,incorreto,P-correto,FN,0,1,0.8862674701884857,1.0,0.9397049826660323
43,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
43,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
47,incorreto,P-incorreto,VN,0,0,0.8862674701884857,1.0,0.9397049826660323
39,incorreto,P-correto,FN,0,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
43,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
20,incorreto,P-incorreto,VN,0,0,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
50,incorreto,P-incorreto,VN,0,0,0.8862674701884857,1.0,0.9397049826660323
54,incorreto,P-incorreto,VN,0,0,0.8862674701884857,1.0,0.9397049826660323
39,incorreto,P-correto,FN,0,1,0.8862674701884857,1.0,0.9397049826660323
42,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
39,incorreto,P-correto,FN,0,1,0.8862674701884857,1.0,0.9397049826660323
41,correto,P-correto,VP,1,1,0.8862674701884857,1.0,0.9397049826660323
