Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-LossAccuracy-L1,0.8333333333333334,0.5,0.625,0.001562356948852539
2,diversidade-LossAccuracy-L1,0.8333333333333334,1.0,0.9090909090909091,0.0014007091522216797
3,diversidade-LossAccuracy-L1,0.8333333333333334,0.5,0.625,0.0013756752014160156
