Dado,Label,Predição,Avaliação
43,correto,P-correto,VN
43,incorreto,P-correto,FP
45,incorreto,P-incorreto,VP
47,incorreto,P-correto,FP
41,correto,P-incorreto,FN
42,correto,P-correto,VN
49,incorreto,P-correto,FP
50,incorreto,P-correto,FP
50,incorreto,P-correto,FP
51,correto,P-correto,VN
50,incorreto,P-correto,FP
51,correto,P-correto,VN
51,correto,P-correto,VN
51,correto,P-correto,VN
50,incorreto,P-correto,FP
