Dado,Label,Predição,Avaliação
44,correto,P-incorreto,FN
42,correto,P-correto,VN
45,correto,P-incorreto,FN
41,correto,P-correto,VN
42,correto,P-correto,VN
42,correto,P-correto,VN
41,correto,P-correto,VN
47,incorreto,P-correto,FP
47,incorreto,P-correto,FP
47,incorreto,P-correto,FP
47,incorreto,P-correto,FP
47,incorreto,P-correto,FP
47,incorreto,P-correto,FP
47,incorreto,P-correto,FP
47,incorreto,P-correto,FP
