Arquivo,Média F1-Measure,Média Accuracy,Média Tempo Processamento
F1-Measure-svm-LossAccuracy-L1-.csv,0.5583324421726611,0.9088271604938271,0.3203555941581726
F1-Measure-diversidade-LossAccuracy-L1-.csv,0.4897437271290285,0.9011882716049383,0.02181400458017981
F1-Measure-diversidade-Noise-L2-.csv,0.9325738081906164,0.9600848765432098,0.022417189677556307
F1-Measure-svm-Freezing-L1-.csv,0.33275494012062634,0.4986998456790124,0.31970574061075846
F1-Measure-isolation-LossAccuracy-L2-.csv,0.5299862902908392,0.7892283950617284,0.07127949396769202
F1-Measure-svm-Freezing-L2-.csv,0.33274979384548753,0.4986882716049383,0.31482318639755247
F1-Measure-diversidade-Bias-L2-.csv,0.9988865240756379,0.9992862654320986,0.022992382446924794
F1-Measure-svm-LossAccuracy-L2-.csv,0.49631151921075833,0.7982291666666668,0.352251923084259
F1-Measure-isolation-Bias-L1-.csv,0.7182880569276994,0.9295023148148148,0.07674679557482399
F1-Measure-isolation-Noise-L1-.csv,0.9623672215518034,0.9870987654320988,0.0835073630015055
F1-Measure-diversidade-Freezing-L1-.csv,0.33367551149957714,0.499891975308642,0.0218189160029093
F1-Measure-isolation-Freezing-L2-.csv,0.29602819671169495,0.420516975308642,0.06992978652318314
F1-Measure-diversidade-Noise-L1-.csv,0.9395908891451294,0.9801176697530863,0.021766543388366654
F1-Measure-isolation-Bias-L2-.csv,0.6981613045071129,0.8611226851851852,0.0803132096926371
F1-Measure-diversidade-LossAccuracy-L2-.csv,0.46067417030278585,0.802608024691358,0.022265919049580845
F1-Measure-svm-Bias-L1-.csv,0.5304849122700033,0.7424189814814816,0.31854477723439534
F1-Measure-diversidade-Bias-L1-.csv,0.998280047552533,0.9993788580246912,0.021836111942926995
F1-Measure-diversidade-Freezing-L2-.csv,0.33383910579941783,0.4998456790123457,0.021781071027119916
F1-Measure-isolation-Freezing-L1-.csv,0.2958200074139397,0.42009645061728396,0.06513805786768591
F1-Measure-svm-Noise-L2-.csv,0.4606346753406486,0.5043171296296296,0.4588882565498352
F1-Measure-isolation-Noise-L2-.csv,0.7958048962763815,0.8967901234567902,0.08871566851933795
F1-Measure-svm-Noise-L1-.csv,0.6148953592126799,0.6533063271604937,0.32247954805692036
F1-Measure-isolation-LossAccuracy-L1-.csv,0.5653378172265583,0.8614891975308641,0.06881295045216874
F1-Measure-svm-Bias-L2-.csv,0.5464393910209765,0.7313657407407407,0.34106330076853436
